 PWM (mus); RPM; Current (A); Voltage (V); Power (W); Force (Kg f); Efficiency (g/W)
1460,0;0,0;0,0;10,0;0,0;0,0;0,0
1464,0;0,0;0,0;10,0;0,0;0,0;0,0
1468,0;0,0;0,0;10,0;0,0;0,0;0,0
1472,0;0,0;0,0;10,0;0,0;0,0;0,0
1476,0;0,0;0,0;10,0;0,0;0,0;0,0
1480,0;0,0;0,0;10,0;0,0;0,0;0,0
1484,0;0,0;0,0;10,0;0,0;0,0;0,0
1488,0;0,0;0,0;10,0;0,0;0,0;0,0
1492,0;0,0;0,0;10,0;0,0;0,0;0,0
1496,0;0,0;0,0;10,0;0,0;0,0;0,0
1500,0;0,0;0,0;10,0;0,0;0,0;0,0
1504,0;0,0;0,0;10,0;0,0;0,0;0,0
1508,0;0,0;0,0;10,0;0,0;0,0;0,0
1512,0;0,0;0,0;10,0;0,0;0,0;0,0
1516,0;0,0;0,0;10,0;0,0;0,0;0,0
1520,0;0,0;0,0;10,0;0,0;0,0;0,0
1524,0;0,0;0,0;10,0;0,0;0,0;0,0
1528,0;0,0;0,0;10,0;0,0;0,0;0,0
1532,0;0,0;0,0;10,0;0,0;0,0;0,0
1536,0;0,0;0,0;10,0;0,0;0,0;0,0
1540,0;0,0;0,0;10,0;0,0;0,0;0,0
1544,0;332,0;0,05;10,0;0,5;0,04;81,6
1548,0;373,0;0,05;10,0;0,5;0,05;108,9
1552,0;417,0;0,05;10,0;0,5;0,07;136,1
1556,0;459,0;0,1;10,0;1,0;0,08;77,1
1560,0;500,0;0,1;10,0;1,0;0,09;90,7
1564,0;540,0;0,1;10,0;1,0;0,11;108,9
1568,0;582,0;0,1;10,0;1,0;0,13;127,0
1572,0;621,0;0,2;10,0;2,0;0,15;72,6
1576,0;657,0;0,2;10,0;2,0;0,16;81,6
1580,0;695,0;0,2;10,0;2,0;0,18;90,7
1584,0;733,0;0,2;10,0;2,0;0,2;102,1
1588,0;766,0;0,3;10,0;3,0;0,22;74,1
1592,0;805,0;0,3;10,0;3,0;0,24;81,6
1596,0;836,0;0,4;10,0;4,0;0,26;65,8
1600,0;873,0;0,4;10,0;4,0;0,29;72,6
1604,0;906,0;0,47;10,0;4,7;0,31;66,6
1608,0;938,0;0,5;10,0;5,0;0,34;67,1
1612,0;974,0;0,5;10,0;5,0;0,36;72,6
1616,0;1007,0;0,6;10,0;6,0;0,39;64,3
1620,0;1035,0;0,7;10,0;7,0;0,41;59,0
1624,0;1066,0;0,7;10,0;7,0;0,44;63,5
1628,0;1101,0;0,8;10,0;8,0;0,47;58,4
1632,0;1129,0;0,83;10,0;8,3;0,49;59,6
1636,0;1159,0;0,94;10,0;9,4;0,52;55,5
1640,0;1188,0;1,0;10,0;10,0;0,55;54,9
1644,0;1219,0;1,1;10,0;11,0;0,58;52,8
1648,0;1250,0;1,2;10,0;12,0;0,61;50,7
1652,0;1278,0;1,3;10,0;13,0;0,64;49,2
1656,0;1303,0;1,4;10,0;14,0;0,68;48,9
1660,0;1330,0;1,5;10,0;15,0;0,7;46,9
1664,0;1363,0;1,5;10,0;15,0;0,73;48,4
1668,0;1392,0;1,6;10,0;16,0;0,76;47,6
1672,0;1418,0;1,8;10,0;18,0;0,8;44,4
1676,0;1445,0;1,9;10,0;19,0;0,83;43,4
1680,0;1473,0;2,0;10,0;20,0;0,85;42,6
1684,0;1496,0;2,1;10,0;21,0;0,89;42,3
1688,0;1519,0;2,2;10,0;22,0;0,92;41,9
1692,0;1542,0;2,3;10,0;23,0;0,95;41,2
1696,0;1571,0;2,43;10,0;24,3;0,98;40,1
1700,0;1596,0;2,7;10,0;27,0;0,97;36,0
1704,0;1622,0;2,8;10,0;28,0;1,05;37,4
1708,0;1650,0;2,9;10,0;29,0;1,08;37,1
1712,0;1674,0;3,1;10,0;31,0;1,11;35,8
1716,0;1696,0;3,3;10,0;33,0;1,17;35,3
1720,0;1720,0;3,4;10,0;34,0;1,18;34,8
1724,0;1747,0;3,5;10,0;35,0;1,21;34,5
1728,0;1765,0;3,7;10,0;37,0;1,24;33,5
1732,0;1793,0;3,84;10,0;38,4;1,27;33,2
1736,0;1819,0;4,0;10,0;40,0;1,31;32,8
1740,0;1833,0;4,2;10,0;42,0;1,36;32,3
1744,0;1860,0;4,4;10,0;44,0;1,41;32,1
1748,0;1889,0;4,5;10,0;45,0;1,43;31,8
1752,0;1911,0;4,7;10,0;47,0;1,48;31,5
1756,0;1933,0;4,9;10,0;49,0;1,52;31,1
1760,0;1962,0;5,1;10,0;51,0;1,55;30,3
1764,0;1984,0;5,3;10,0;53,0;1,58;29,8
1768,0;2004,0;5,5;10,0;55,0;1,62;29,5
1772,0;2027,0;5,7;10,0;57,0;1,66;29,0
1776,0;2052,0;5,9;10,0;59,0;1,69;28,7
1780,0;2075,0;6,09;10,0;60,9;1,73;28,4
1784,0;2093,0;6,3;10,0;63,0;1,77;28,2
1788,0;2118,0;6,5;10,0;65,0;1,8;27,7
