PWM (mus);RPM;Current (A);Voltage (V);Power (W);Efficiency (g/W);Force (N)
1812;3089;14,49;18;260,8;15,4;40,2
1816;3124;15,09;18;271,6;15,2;41,4
1820;3180;15,55;18;279,9;15,0;42,1
1824;3222;16,14;18;290,5;14,9;43,2
1828;3265;16,66;18;299,9;14,7;44,1
1832;3283;17,32;18;311,8;14,5;45,4
1836;3324;17,89;18;322,0;14,5;46,7
1840;3375;18,45;18;332,1;14,1;46,9
1844;3391;19,27;18;346,9;14,0;48,6
1848;3417;19,72;18;355,0;13,9;49,2
1852;3446;20,38;18;366,8;13,7;50,2
1856;3482;21,03;18;378,5;13,5;51,2
1860;3513;21,6;18;388,8;13,4;52,1
1864;3542;22,29;18;401,2;13,2;52,9
1868;3572;22,87;18;411,7;13,1;53,8
1872;3597;23,55;18;423,9;13,0;55,0
1876;3619;24,23;18;436,1;12,8;56,0
1880;3637;24,77;18;445,9;12,7;56,7
1884;3653;25,48;18;458,6;12,6;57,7
1888;3687;26,04;18;468,7;12,4;58,2
1892;3711;26,74;18;481,3;12,3;59,0
1896;3751;27,22;18;490,0;12,2;59,8
1900;3742;27,57;18;496,3;12,1;60,2
